					
	03. 23 Witch Hansel's Castle				
				마티암	(미겔의 팔을 고이 접어 몸 쪽으로 올림)
				미겔	이건... 무슨 포즈죠, 마티암씨~?! (시체 포즈?!)
				마티암	그대가 덜 밟힐 수 있도록 고안해 낸 포즈라네.
				미겔	(감동...) 아아...마티암씨... 그냥 안 밟으시면 되는 거 아닙니까~?!
				마티암	인생사 어떻게 될지 모르는 일 아니겠나.
				미겔	밟히는... 인생일 수 있다...? (우.)
				마티암	혹은 밟는 인생일 수도 있지. 미래를 쟁취하게나!
				미겔	호옷호옷! 그럼 모두를 밟고 다니겠습니다!!
				마티암	모두의 위에 군림하세
				미겔	그 첫번째의 영광은 마티암씨에게로~?
				마티암	마티와 암 중에 누굴 선택하겠나. (당신의 선택은?)
				미겔	마티씨는 머리라 죄송스러워서~ 암씨? 후후...
				마티암	하하! 이거 아쉽군. 그 영광스러운 자리를 양보해줘야 한다니... (얌전히 눕는다)
				미겔	마티씨도 원하신다면 말씀주십쇼~? (얌전히 누워지는 몸을 보고) 어...어디를 보통 밟아야 하지요?! 
				마티암	넓직한 등이 어떤가. 날개뼈 안쪽 부분 말이네. (이렇게 된 김에 뭉친 근육 풀 속셈으로 엎드린다)
				미겔	오오오, 좋습니다! 어디, 어디~ 암씨 등이 얼마나 넓직~한지 볼깝쇼? (엎드리는 당신의 등 위에 조심스레 발을 얹고... 살짝 누른다! 콱 밟기엔 미안하니까...) 어떻습니까~?!
				마티암	으음. (발의 위치에 맞춰 몸을 조정했다. 미겔은 부츠를 신은 채인가?) 부족하네..!
				미겔	(마티암의 소중한 옷이 더러워질까봐 벗었다... 걱정마시길! 미겔의 발은 깨끗하다!) 오호, 부족하시다니! 자자, 그럼~ (조금 더 힘을 줘서 밟아본다.)
				마티암	(꾹- 당신의 힘에 따라 근육이 눌린다) 조금... 조금 더 세게.. 팍팍 밟게나! (시원하다)
				미겔	이이이래도 되는겁니까~?! (말은 그렇게 하면서도 팍팍 밟는다. 당신의 넓직한 등을 밟고 있으니... 어라, 이거 좀 좋을지도.)
				마티암	(파수꾼단 생활을 시작한 이래로 제일 만족스러워 보이는 표정이었다) 무릉도원이군... 밑의 척추 쪽도 부탁하네. (영광을 듬뿍 받고 싶은 모양)
				미겔	오호~! 마티암씨가 이렇게 좋아해주실 줄이야! 안마 받는 걸 좋아하십니까~? 예이, 예이~ (등에서 허리 쪽으로 발을 옮겨 척추 부분을 찾고는 꾹꾹 누른다.)
				마티암	이럴 기회가 많지 않아서 말이야. (꾹 꾹 눌려진다) 파수꾼단 사람들은 근육을 어떻게 푸는건지 모르겠어. 알고보면 다들 단단하게 뭉친 근육을 가졌을지도.
				미겔	(꾹꾹꾹...)저는 보통 제가 눌러서 풀어주거나 검술로 풀어주곤 합니다만... 역시 몸이 찌뿌둥할 땐 검을 놀리는 게 최고죠! 하하, 그럼 다른 분들도 다 밟아드려야겠네요! (어감이 이상하다.)
