					
	03. 28 Agrem Fandango				
				마티암	(혼자 춤을 춘다)
				미겔	왜 혼자 추십니까! 같이 추시죠~! (마티를 제 손으로 받아내고, 암의 한쪽 손을 끌어 당긴다.)
				마티암	셋이 추는 건 처음인데. (손을 쭉 뻗고 미겔과 함께 한 바퀴 빙 돌았다.) 시작은 제대로 해야지. (갑자기 손을 놓는가 싶더니.. 몸을 굽히고 뒷짐을 진 채 당신에게 손을 내미는, 귀족같은 움직임을 보인다.)
				미겔	그럼 두 분이서만 춰보셨습니까~? (신나게 한 바퀴 돌다가 뒷짐을 지고 제게 손을 내미는 당신을 본다.) 우와! 마티암씨, 엄청 높으신 분 같습니다요~? 어느 일가의 자제이신지, 참! (저 역시 귀족처럼 우아하다고는 볼 수 없으나 음유시인이라기엔 반듯한 자세로 정중히 인사한 다음, 당신의 손을 잡는다.) 아주 제대로네요!
				마티암	이전 마을에서 시도해봤네만, 둘이서는 완벽한 왈츠를 출 수 없더군. 크로히 가의 자제를 잘 부탁하지. (당신의 손을 다섯 손가락으로 감싼 후 가볍게 끌어당겨 나란히 마주 섰다) 바드는 춤에도 일가견이 있으려나? (당신의 허리에 반대쪽 손을 얹고는 왼쪽, 오른쪽 스텝을 밟았다.)
				미겔	그럼 셋이서는 완-벽하게 왈츠를 출 수 있겠군요! 어떤 이들은 3이 세상에서 가장 완벽한 숫자라고 주장하니 말입니다. 크로히 가의 마티암... (입꼬리를 올려 웃으며 당신이 이끄는 대로 몸을 움직인다.) 이 콜드듀 가의 자제도 잘 부탁드리지요! (저 역시 당신의 허리에 손을 얹으려다가... 어깨에 손을 얹고, 음? 허리인가? 허리와 어깨에 손을 오간다.) 제법 있는 편이지요! 제가 추시는 모습을 보면 아주 깜~짝 놀라실겁니다?
				마티암	나도 숫자 중 3을 제일 좋아하네. 콜드듀 가의 미겔. (옅은 미소를 띤 얼굴로 고개 끄덕이곤) 아주 만능이로군. 이런 춤도 자주 춰봤나? (크게 원을 그리며 돌다 손을 올려 당신을 한 바퀴 돌렸다)
				미겔	호오, 어째서입니까~? 3에게 특별한 애정이라도? 하하, 이제부터 만능 재주꾼이라고 불러주십쇼! (몸을 능숙하게 한 바퀴 돌려 다시 당신의 남은 손을 잡고 춤을 이어나간다.) 이렇게 고상~한 춤을 많이 춰본 적은 없지만요! 감이라는 게 있지 않겠습니까~? 그러는 마티암씨는 이런 춤을 제법 추셨던 것 같습니다? 그러니까... 모자를 즐겨 쓰시던 때에? (후후.)
				마티암	2는 너무 적고 4는 많으니.. 3이 완전한 숫자라고 여기는 경우도 꽤 되잖아? 언뜻 보면 귀여운 문양이기도 하고. (손이 닿자 부드럽게 동작을 이어나갔다) 후후.. 그런 시절도 있었지. 이런저런 자리에 초대받았으니.. 무시당하기 싫어 어깨너머로 습득한 것이지만. 어때, 보기에 꽤 그럴 듯한가?
				미겔	2는 적고 4는 많다고 느끼시다니~ 마티암씨는 욕심이 있는듯~ 없는듯~ 하십니다? 네에, 안정적인 숫자긴 하죠. (언뜻 보면 귀여운 모양이라는 말에 입을 3 모양으로 만든다. 옆으로 엎어진 3이지만.) 그런 자리들이 불편하진 않으셨나봅니다~? 저도 귀족분들께 초대 받아 연주를 해드린 적이 있는데, 세에상에, 숨 막혀 죽을뻔 했습죠! 어깨 너머로 습득하신 것 치고는 아주 근사하십니다! 정말 귀족가 자제 같으시구요. (그렇게 말하며 당신 머리를 암의 목 위로 가져가본다. 붙어 있다면 이런 느낌이려나?)
					
				마티암	
					욕심이라면 항상 많은 편이었지. (픽 웃고는) 미겔은 좋아하는 숫자가 있나? (3의 입꼬리를 꾹 눌렀다) ..빨리 집에 가고 싶었지. 그들의 예법, 규칙에 적응하지 못하겠더군. 하지만 무시당하긴 싫었어. (목은 조금의 눌린 자국 빼곤 완벽하게 맞아떨어진다. 과거의 그는 필시 이런 모습이었으리라. 그 상태로 가만히 당신을 바라본다. 조금은 어색한 듯) 생각한 모습인가?
					
				미겔	
					항상 많은 편이셨습니까~? 뭔가 마티암씨의 과거 이야기에 대해 들으면 그러셨던 것 같기도 하고~... (입꼬리가 눌려 꿈틀하더니 여전히 싱글벙글 웃는 얼굴로 당신을 본다.) 이거 보아하니 마티암씨는 욕심도 많고 자존심도 강하셨던 것 같습니다? 집에 가고 싶은 마음도 억누르시고 무시 당하지 않게 노력하신 걸 봐선... 어쩌면 완벽주의이실지도 모르겠다는 생각이 드네요! (목이 얹어져 완전한 형태가 된 당신이 눈에 들어온다. 사람들이 좋아하는 옷을 만들고, 모자를 쓰는 멋쟁이였던 마티암 크로히. 자신이 알지 못했지만 어쩐지 알고 있었던 것만 같은 시간선의 당신이 보인다.) 이야! 웬만한 귀족보다 훤칠하십니다! (하하하.) 마티암씨는 기분이 어떠신지요~?
